chromosome,source,feature,start,end,score,strand,frame,attributes,line_number,gene_id
LR134336.1,EMBL,gene,263913,264645,,+,,ID=gene-NCTC11427_00277;Name=wzh;gbkey=Gene;gene=wzh;gene_biotype=protein_coding;locus_tag=NCTC11427_00277,590,gene-NCTC11427_00277
LR134336.1,EMBL,gene,264653,265346,,+,,ID=gene-NCTC11427_00278;Name=wzd;gbkey=Gene;gene=wzd;gene_biotype=protein_coding;locus_tag=NCTC11427_00278,592,gene-NCTC11427_00278
LR134336.1,EMBL,gene,265355,266048,,+,,ID=gene-NCTC11427_00279;Name=wze;gbkey=Gene;gene=wze;gene_biotype=protein_coding;locus_tag=NCTC11427_00279,594,gene-NCTC11427_00279
LR134336.1,EMBL,gene,266070,267438,,+,,ID=gene-NCTC11427_00280;Name=wcaJ_1;gbkey=Gene;gene=wcaJ_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00280,596,gene-NCTC11427_00280
LR134336.1,EMBL,gene,267468,268641,,+,,ID=gene-NCTC11427_00281;Name=NCTC11427_00281;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00281,598,gene-NCTC11427_00281
LR134336.1,EMBL,gene,268644,269802,,+,,ID=gene-NCTC11427_00282;Name=cotSA;gbkey=Gene;gene=cotSA;gene_biotype=protein_coding;locus_tag=NCTC11427_00282,600,gene-NCTC11427_00282
LR134336.1,EMBL,gene,269804,270803,,+,,ID=gene-NCTC11427_00283;Name=sacB;gbkey=Gene;gene=sacB;gene_biotype=protein_coding;locus_tag=NCTC11427_00283,602,gene-NCTC11427_00283
LR134336.1,EMBL,gene,270837,271803,,+,,ID=gene-NCTC11427_00284;Name=wefD;gbkey=Gene;gene=wefD;gene_biotype=protein_coding;locus_tag=NCTC11427_00284,604,gene-NCTC11427_00284
LR134336.1,EMBL,gene,271837,272188,,+,,ID=gene-NCTC11427_00285;Name=wzy;gbkey=Gene;gene=wzy;gene_biotype=protein_coding;locus_tag=NCTC11427_00285,606,gene-NCTC11427_00285
LR134336.1,EMBL,gene,272583,273759,,+,,ID=gene-NCTC11427_00286;Name=epsK;gbkey=Gene;gene=epsK;gene_biotype=protein_coding;locus_tag=NCTC11427_00286,608,gene-NCTC11427_00286
LR134336.1,EMBL,gene,273806,275222,,+,,ID=gene-NCTC11427_00287;Name=wzx_1;gbkey=Gene;gene=wzx_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00287,610,gene-NCTC11427_00287
LR134336.1,EMBL,gene,275223,276222,,+,,ID=gene-NCTC11427_00288;Name=wefK;gbkey=Gene;gene=wefK;gene_biotype=protein_coding;locus_tag=NCTC11427_00288,612,gene-NCTC11427_00288
LR134336.1,EMBL,gene,276234,277338,,+,,ID=gene-NCTC11427_00289;Name=glf;gbkey=Gene;gene=glf;gene_biotype=protein_coding;locus_tag=NCTC11427_00289,614,gene-NCTC11427_00289
LR134336.1,EMBL,gene,277365,278418,,+,,ID=gene-NCTC11427_00290;Name=wefE;gbkey=Gene;gene=wefE;gene_biotype=protein_coding;locus_tag=NCTC11427_00290,616,gene-NCTC11427_00290
LR134336.1,EMBL,gene,278489,279359,,+,,ID=gene-NCTC11427_00291;Name=cps2L;gbkey=Gene;gene=cps2L;gene_biotype=protein_coding;locus_tag=NCTC11427_00291,618,gene-NCTC11427_00291
LR134336.1,EMBL,gene,279359,279953,,+,,ID=gene-NCTC11427_00292;Name=rfbC;gbkey=Gene;gene=rfbC;gene_biotype=protein_coding;locus_tag=NCTC11427_00292,620,gene-NCTC11427_00292
LR134336.1,EMBL,gene,279956,280505,,+,,ID=gene-NCTC11427_00293;Name=NCTC11427_00293;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00293,622,gene-NCTC11427_00293
LR134336.1,EMBL,gene,280497,281544,,+,,ID=gene-NCTC11427_00294;Name=rmlB;gbkey=Gene;gene=rmlB;gene_biotype=protein_coding;locus_tag=NCTC11427_00294,624,gene-NCTC11427_00294
LR134336.1,EMBL,gene,281604,282459,,-,,ID=gene-NCTC11427_00295;Name=strL;gbkey=Gene;gene=strL;gene_biotype=protein_coding;locus_tag=NCTC11427_00295,626,gene-NCTC11427_00295
LR134336.1,EMBL,gene,282696,284679,,+,,ID=gene-NCTC11427_00296;Name=aliA;gbkey=Gene;gene=aliA;gene_biotype=protein_coding;locus_tag=NCTC11427_00296,628,gene-NCTC11427_00296
LR134336.1,EMBL,gene,284978,291404,,+,,ID=gene-NCTC11427_00297;Name=NCTC11427_00297;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00297,630,gene-NCTC11427_00297
LR134336.1,EMBL,gene,291544,299794,,+,,ID=gene-NCTC11427_00298;Name=nagH;gbkey=Gene;gene=nagH;gene_biotype=protein_coding;locus_tag=NCTC11427_00298,632,gene-NCTC11427_00298
LR134336.1,EMBL,gene,299961,302130,,-,,ID=gene-NCTC11427_00299;Name=pbp1a;gbkey=Gene;gene=pbp1a;gene_biotype=protein_coding;locus_tag=NCTC11427_00299,634,gene-NCTC11427_00299
LR134336.1,EMBL,gene,302126,302723,,-,,ID=gene-NCTC11427_00300;Name=recU;gbkey=Gene;gene=recU;gene_biotype=protein_coding;locus_tag=NCTC11427_00300,636,gene-NCTC11427_00300
LR134336.1,EMBL,gene,302789,303317,,+,,ID=gene-NCTC11427_00301;Name=ypsA;gbkey=Gene;gene=ypsA;gene_biotype=protein_coding;locus_tag=NCTC11427_00301,638,gene-NCTC11427_00301
LR134336.1,EMBL,gene,303386,303716,,+,,ID=gene-NCTC11427_00302;Name=gpsB;gbkey=Gene;gene=gpsB;gene_biotype=protein_coding;locus_tag=NCTC11427_00302,640,gene-NCTC11427_00302
LR134336.1,EMBL,gene,304201,305359,,+,,ID=gene-NCTC11427_00304;Name=rlmL;gbkey=Gene;gene=rlmL;gene_biotype=protein_coding;locus_tag=NCTC11427_00304,642,gene-NCTC11427_00304
LR134336.1,EMBL,gene,305371,306817,,+,,ID=gene-NCTC11427_00305;Name=NCTC11427_00305;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00305,644,gene-NCTC11427_00305
LR134336.1,EMBL,gene,306892,308317,,+,,ID=gene-NCTC11427_00306;Name=cbpJ_1;gbkey=Gene;gene=cbpJ_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00306,646,gene-NCTC11427_00306
LR134336.1,EMBL,gene,308328,309018,,+,,ID=gene-NCTC11427_00307;Name=arlR;gbkey=Gene;gene=arlR;gene_biotype=protein_coding;locus_tag=NCTC11427_00307,648,gene-NCTC11427_00307
LR134336.1,EMBL,gene,309117,310002,,+,,ID=gene-NCTC11427_00308;Name=cbpJ_2;gbkey=Gene;gene=cbpJ_2;gene_biotype=protein_coding;locus_tag=NCTC11427_00308,650,gene-NCTC11427_00308
LR134336.1,EMBL,gene,310019,311039,,+,,ID=gene-NCTC11427_00309;Name=cbp9;gbkey=Gene;gene=cbp9;gene_biotype=protein_coding;locus_tag=NCTC11427_00309,652,gene-NCTC11427_00309
LR134336.1,EMBL,gene,311156,312035,,+,,ID=gene-NCTC11427_00310;Name=galK_1;gbkey=Gene;gene=galK_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00310,654,gene-NCTC11427_00310
LR134336.1,EMBL,gene,312016,312970,,+,,ID=gene-NCTC11427_00311;Name=mvd1;gbkey=Gene;gene=mvd1;gene_biotype=protein_coding;locus_tag=NCTC11427_00311,656,gene-NCTC11427_00311
LR134336.1,EMBL,gene,312956,313964,,+,,ID=gene-NCTC11427_00312;Name=NCTC11427_00312;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00312,658,gene-NCTC11427_00312
LR134336.1,EMBL,gene,313947,314949,,+,,ID=gene-NCTC11427_00313;Name=fni;gbkey=Gene;gene=fni;gene_biotype=protein_coding;locus_tag=NCTC11427_00313,660,gene-NCTC11427_00313
LR134336.1,EMBL,gene,315087,316218,,-,,ID=gene-NCTC11427_00314;Name=NCTC11427_00314;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00314,662,gene-NCTC11427_00314
LR134336.1,EMBL,gene,316270,316612,,-,,ID=gene-NCTC11427_00315;Name=NCTC11427_00315;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00315,664,gene-NCTC11427_00315
LR134336.1,EMBL,gene,316676,317912,,-,,ID=gene-NCTC11427_00316;Name=NCTC11427_00316;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00316,666,gene-NCTC11427_00316
LR134336.1,EMBL,gene,318056,318674,,-,,ID=gene-NCTC11427_00317;Name=NCTC11427_00317;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00317,668,gene-NCTC11427_00317
LR134336.1,EMBL,gene,318670,319840,,-,,ID=gene-NCTC11427_00318;Name=NCTC11427_00318;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00318,670,gene-NCTC11427_00318
LR134336.1,EMBL,gene,319843,320203,,-,,ID=gene-NCTC11427_00319;Name=NCTC11427_00319;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00319,672,gene-NCTC11427_00319
LR134336.1,EMBL,gene,320432,320972,,+,,ID=gene-NCTC11427_00320;Name=NCTC11427_00320;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00320,674,gene-NCTC11427_00320
LR134336.1,EMBL,gene,320997,321345,,-,,ID=gene-NCTC11427_00321;Name=sinR;gbkey=Gene;gene=sinR;gene_biotype=protein_coding;locus_tag=NCTC11427_00321,676,gene-NCTC11427_00321
LR134336.1,EMBL,gene,321552,324072,,+,,ID=gene-NCTC11427_00322;Name=NCTC11427_00322;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00322,678,gene-NCTC11427_00322
LR134336.1,EMBL,gene,324425,325124,,+,,ID=gene-NCTC11427_00323;Name=NCTC11427_00323;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00323,680,gene-NCTC11427_00323
LR134336.1,EMBL,gene,325120,326119,,+,,ID=gene-NCTC11427_00324;Name=vraS;gbkey=Gene;gene=vraS;gene_biotype=protein_coding;locus_tag=NCTC11427_00324,682,gene-NCTC11427_00324
LR134336.1,EMBL,gene,326129,326762,,+,,ID=gene-NCTC11427_00325;Name=vraR_1;gbkey=Gene;gene=vraR_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00325,684,gene-NCTC11427_00325
LR134336.1,EMBL,gene,326762,327419,,+,,ID=gene-NCTC11427_00326;Name=NCTC11427_00326;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00326,686,gene-NCTC11427_00326
LR134336.1,EMBL,gene,327509,328793,,+,,ID=gene-NCTC11427_00327;Name=tig;gbkey=Gene;gene=tig;gene_biotype=protein_coding;locus_tag=NCTC11427_00327,688,gene-NCTC11427_00327
LR134336.1,EMBL,gene,328840,331210,,-,,ID=gene-NCTC11427_00328;Name=recD;gbkey=Gene;gene=recD;gene_biotype=protein_coding;locus_tag=NCTC11427_00328,690,gene-NCTC11427_00328
LR134336.1,EMBL,gene,331339,331954,,-,,ID=gene-NCTC11427_00329;Name=spsB;gbkey=Gene;gene=spsB;gene_biotype=protein_coding;locus_tag=NCTC11427_00329,692,gene-NCTC11427_00329
LR134336.1,EMBL,gene,331957,332839,,-,,ID=gene-NCTC11427_00330;Name=rnhC;gbkey=Gene;gene=rnhC;gene_biotype=protein_coding;locus_tag=NCTC11427_00330,694,gene-NCTC11427_00330
LR134336.1,EMBL,gene,332925,333228,,+,,ID=gene-NCTC11427_00331;Name=NCTC11427_00331;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00331,696,gene-NCTC11427_00331
LR134336.1,EMBL,gene,333224,333773,,+,,ID=gene-NCTC11427_00332;Name=NCTC11427_00332;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00332,698,gene-NCTC11427_00332
LR134336.1,EMBL,gene,333873,336210,,+,,ID=gene-NCTC11427_00333;Name=mutS2;gbkey=Gene;gene=mutS2;gene_biotype=protein_coding;locus_tag=NCTC11427_00333,700,gene-NCTC11427_00333
LR134336.1,EMBL,gene,336556,337879,,+,,ID=gene-NCTC11427_00335;Name=NCTC11427_00335;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00335,702,gene-NCTC11427_00335
LR134336.1,EMBL,gene,338009,338558,,+,,ID=gene-NCTC11427_00336;Name=NCTC11427_00336;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00336,704,gene-NCTC11427_00336
LR134336.1,EMBL,gene,338668,339568,,+,,ID=gene-NCTC11427_00337;Name=shetA;gbkey=Gene;gene=shetA;gene_biotype=protein_coding;locus_tag=NCTC11427_00337,706,gene-NCTC11427_00337
LR134336.1,EMBL,gene,339591,340866,,-,,ID=gene-NCTC11427_00338;Name=serS;gbkey=Gene;gene=serS;gene_biotype=protein_coding;locus_tag=NCTC11427_00338,708,gene-NCTC11427_00338
LR134336.1,EMBL,gene,341079,341451,,-,,ID=gene-NCTC11427_00340;Name=NCTC11427_00340;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00340,710,gene-NCTC11427_00340
LR134336.1,EMBL,gene,341453,342818,,-,,ID=gene-NCTC11427_00341;Name=thrA;gbkey=Gene;gene=thrA;gene_biotype=protein_coding;locus_tag=NCTC11427_00341,712,gene-NCTC11427_00341
LR134336.1,EMBL,gene,343100,343886,,+,,ID=gene-NCTC11427_00342;Name=fcbB2;gbkey=Gene;gene=fcbB2;gene_biotype=protein_coding;locus_tag=NCTC11427_00342,714,gene-NCTC11427_00342
LR134336.1,EMBL,gene,343976,344411,,+,,ID=gene-NCTC11427_00343;Name=NCTC11427_00343;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00343,716,gene-NCTC11427_00343
LR134336.1,EMBL,gene,344410,345385,,+,,ID=gene-NCTC11427_00344;Name=fabH;gbkey=Gene;gene=fabH;gene_biotype=protein_coding;locus_tag=NCTC11427_00344,718,gene-NCTC11427_00344
LR134336.1,EMBL,gene,345442,345667,,+,,ID=gene-NCTC11427_00345;Name=acpP_2;gbkey=Gene;gene=acpP_2;gene_biotype=protein_coding;locus_tag=NCTC11427_00345,720,gene-NCTC11427_00345
LR134336.1,EMBL,gene,345784,346759,,+,,ID=gene-NCTC11427_00346;Name=NCTC11427_00346;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00346,722,gene-NCTC11427_00346
LR134336.1,EMBL,gene,346751,347672,,+,,ID=gene-NCTC11427_00347;Name=fabD;gbkey=Gene;gene=fabD;gene_biotype=protein_coding;locus_tag=NCTC11427_00347,724,gene-NCTC11427_00347
LR134336.1,EMBL,gene,347717,348449,,+,,ID=gene-NCTC11427_00348;Name=fabG_2;gbkey=Gene;gene=fabG_2;gene_biotype=protein_coding;locus_tag=NCTC11427_00348,726,gene-NCTC11427_00348
LR134336.1,EMBL,gene,348477,349713,,+,,ID=gene-NCTC11427_00349;Name=fabF;gbkey=Gene;gene=fabF;gene_biotype=protein_coding;locus_tag=NCTC11427_00349,728,gene-NCTC11427_00349
LR134336.1,EMBL,gene,349715,350204,,+,,ID=gene-NCTC11427_00350;Name=accB;gbkey=Gene;gene=accB;gene_biotype=protein_coding;locus_tag=NCTC11427_00350,730,gene-NCTC11427_00350
LR134336.1,EMBL,gene,350200,350623,,+,,ID=gene-NCTC11427_00351;Name=fabZ;gbkey=Gene;gene=fabZ;gene_biotype=protein_coding;locus_tag=NCTC11427_00351,732,gene-NCTC11427_00351
LR134336.1,EMBL,gene,350634,352002,,+,,ID=gene-NCTC11427_00352;Name=accC;gbkey=Gene;gene=accC;gene_biotype=protein_coding;locus_tag=NCTC11427_00352,734,gene-NCTC11427_00352
LR134336.1,EMBL,gene,352037,352904,,+,,ID=gene-NCTC11427_00353;Name=accD;gbkey=Gene;gene=accD;gene_biotype=protein_coding;locus_tag=NCTC11427_00353,736,gene-NCTC11427_00353
LR134336.1,EMBL,gene,352900,353668,,+,,ID=gene-NCTC11427_00354;Name=accA;gbkey=Gene;gene=accA;gene_biotype=protein_coding;locus_tag=NCTC11427_00354,738,gene-NCTC11427_00354
LR134336.1,EMBL,gene,353814,354516,,+,,ID=gene-NCTC11427_00355;Name=NCTC11427_00355;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00355,740,gene-NCTC11427_00355
LR134336.1,EMBL,gene,354563,354986,,-,,ID=gene-NCTC11427_00356;Name=nusB;gbkey=Gene;gene=nusB;gene_biotype=protein_coding;locus_tag=NCTC11427_00356,742,gene-NCTC11427_00356
LR134336.1,EMBL,gene,354978,355368,,-,,ID=gene-NCTC11427_00357;Name=NCTC11427_00357;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00357,744,gene-NCTC11427_00357
LR134336.1,EMBL,gene,355389,355950,,-,,ID=gene-NCTC11427_00358;Name=efp;gbkey=Gene;gene=efp;gene_biotype=protein_coding;locus_tag=NCTC11427_00358,746,gene-NCTC11427_00358
LR134336.1,EMBL,gene,356031,357159,,-,,ID=gene-NCTC11427_00359;Name=NCTC11427_00359;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00359,748,gene-NCTC11427_00359
LR134336.1,EMBL,gene,357167,358124,,-,,ID=gene-NCTC11427_00360;Name=NCTC11427_00360;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00360,750,gene-NCTC11427_00360
LR134336.1,EMBL,gene,358197,359643,,-,,ID=gene-NCTC11427_00361;Name=gatB;gbkey=Gene;gene=gatB;gene_biotype=protein_coding;locus_tag=NCTC11427_00361,752,gene-NCTC11427_00361
LR134336.1,EMBL,gene,359642,361109,,-,,ID=gene-NCTC11427_00362;Name=gatA;gbkey=Gene;gene=gatA;gene_biotype=protein_coding;locus_tag=NCTC11427_00362,754,gene-NCTC11427_00362
LR134336.1,EMBL,gene,361108,361411,,-,,ID=gene-NCTC11427_00363;Name=gatC_1;gbkey=Gene;gene=gatC_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00363,756,gene-NCTC11427_00363
LR134336.1,EMBL,gene,361576,362269,,+,,ID=gene-NCTC11427_00364;Name=NCTC11427_00364;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00364,758,gene-NCTC11427_00364
LR134336.1,EMBL,gene,362412,363957,,+,,ID=gene-NCTC11427_00365;Name=prfC;gbkey=Gene;gene=prfC;gene_biotype=protein_coding;locus_tag=NCTC11427_00365,760,gene-NCTC11427_00365
LR134336.1,EMBL,gene,364549,372622,,+,,ID=gene-NCTC11427_00366;Name=monX;gbkey=Gene;gene=monX;gene_biotype=protein_coding;locus_tag=NCTC11427_00366,762,gene-NCTC11427_00366
LR134336.1,EMBL,gene,372841,374068,,+,,ID=gene-NCTC11427_00367;Name=rfaJ;gbkey=Gene;gene=rfaJ;gene_biotype=protein_coding;locus_tag=NCTC11427_00367,764,gene-NCTC11427_00367
LR134336.1,EMBL,gene,374083,375313,,+,,ID=gene-NCTC11427_00368;Name=gspA;gbkey=Gene;gene=gspA;gene_biotype=protein_coding;locus_tag=NCTC11427_00368,766,gene-NCTC11427_00368
LR134336.1,EMBL,gene,375360,376617,,+,,ID=gene-NCTC11427_00369;Name=secY_1;gbkey=Gene;gene=secY_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00369,768,gene-NCTC11427_00369
LR134336.1,EMBL,gene,376626,378207,,+,,ID=gene-NCTC11427_00370;Name=asp1;gbkey=Gene;gene=asp1;gene_biotype=protein_coding;locus_tag=NCTC11427_00370,770,gene-NCTC11427_00370
LR134336.1,EMBL,gene,378190,379720,,+,,ID=gene-NCTC11427_00371;Name=asp2;gbkey=Gene;gene=asp2;gene_biotype=protein_coding;locus_tag=NCTC11427_00371,772,gene-NCTC11427_00371
LR134336.1,EMBL,gene,379716,380157,,+,,ID=gene-NCTC11427_00372;Name=asp3;gbkey=Gene;gene=asp3;gene_biotype=protein_coding;locus_tag=NCTC11427_00372,774,gene-NCTC11427_00372
LR134336.1,EMBL,gene,380149,382522,,+,,ID=gene-NCTC11427_00373;Name=secA_1;gbkey=Gene;gene=secA_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00373,776,gene-NCTC11427_00373
LR134336.1,EMBL,gene,382534,384055,,+,,ID=gene-NCTC11427_00374;Name=tagE;gbkey=Gene;gene=tagE;gene_biotype=protein_coding;locus_tag=NCTC11427_00374,778,gene-NCTC11427_00374
LR134336.1,EMBL,gene,384038,385385,,+,,ID=gene-NCTC11427_00375;Name=NCTC11427_00375;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00375,780,gene-NCTC11427_00375
LR134336.1,EMBL,gene,385377,385557,,+,,ID=gene-NCTC11427_00376;Name=NCTC11427_00376;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00376,782,gene-NCTC11427_00376
LR134336.1,EMBL,gene,385559,385784,,+,,ID=gene-NCTC11427_00377;Name=NCTC11427_00377;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00377,784,gene-NCTC11427_00377
LR134336.1,EMBL,gene,385820,386774,,-,,ID=gene-NCTC11427_00378;Name=NCTC11427_00378;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00378,786,gene-NCTC11427_00378
LR134336.1,EMBL,gene,386823,388035,,-,,ID=gene-NCTC11427_00379;Name=sstT;gbkey=Gene;gene=sstT;gene_biotype=protein_coding;locus_tag=NCTC11427_00379,788,gene-NCTC11427_00379
LR134336.1,EMBL,gene,388184,388745,,+,,ID=gene-NCTC11427_00380;Name=ynaI;gbkey=Gene;gene=ynaI;gene_biotype=protein_coding;locus_tag=NCTC11427_00380,790,gene-NCTC11427_00380
LR134336.1,EMBL,gene,388802,389711,,+,,ID=gene-NCTC11427_00381;Name=NCTC11427_00381;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00381,792,gene-NCTC11427_00381
LR134336.1,EMBL,gene,389728,390256,,+,,ID=gene-NCTC11427_00382;Name=NCTC11427_00382;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00382,794,gene-NCTC11427_00382
LR134336.1,EMBL,gene,390258,391365,,+,,ID=gene-NCTC11427_00383;Name=yqeH;gbkey=Gene;gene=yqeH;gene_biotype=protein_coding;locus_tag=NCTC11427_00383,796,gene-NCTC11427_00383
LR134336.1,EMBL,gene,391578,391890,,+,,ID=gene-NCTC11427_00384;Name=yhbY;gbkey=Gene;gene=yhbY;gene_biotype=protein_coding;locus_tag=NCTC11427_00384,798,gene-NCTC11427_00384
LR134336.1,EMBL,gene,391940,392570,,+,,ID=gene-NCTC11427_00385;Name=nadD;gbkey=Gene;gene=nadD;gene_biotype=protein_coding;locus_tag=NCTC11427_00385,800,gene-NCTC11427_00385
LR134336.1,EMBL,gene,392569,393163,,+,,ID=gene-NCTC11427_00386;Name=NCTC11427_00386;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00386,802,gene-NCTC11427_00386
LR134336.1,EMBL,gene,393163,393517,,+,,ID=gene-NCTC11427_00387;Name=ybeB;gbkey=Gene;gene=ybeB;gene_biotype=protein_coding;locus_tag=NCTC11427_00387,804,gene-NCTC11427_00387
LR134336.1,EMBL,gene,393831,394578,,+,,ID=gene-NCTC11427_00388;Name=NCTC11427_00388;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00388,806,gene-NCTC11427_00388
LR134336.1,EMBL,gene,394587,395685,,+,,ID=gene-NCTC11427_00389;Name=NCTC11427_00389;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00389,808,gene-NCTC11427_00389
LR134336.1,EMBL,gene,395817,396072,,+,,ID=gene-NCTC11427_00390;Name=NCTC11427_00390;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00390,810,gene-NCTC11427_00390
LR134336.1,EMBL,gene,396075,396330,,+,,ID=gene-NCTC11427_00391;Name=yoeB;gbkey=Gene;gene=yoeB;gene_biotype=protein_coding;locus_tag=NCTC11427_00391,812,gene-NCTC11427_00391
LR134336.1,EMBL,gene,396533,398147,,+,,ID=gene-NCTC11427_00392;Name=rny;gbkey=Gene;gene=rny;gene_biotype=protein_coding;locus_tag=NCTC11427_00392,814,gene-NCTC11427_00392
LR134336.1,EMBL,gene,398281,398908,,+,,ID=gene-NCTC11427_00393;Name=gmk;gbkey=Gene;gene=gmk;gene_biotype=protein_coding;locus_tag=NCTC11427_00393,816,gene-NCTC11427_00393
LR134336.1,EMBL,gene,398932,399247,,+,,ID=gene-NCTC11427_00394;Name=rpoZ;gbkey=Gene;gene=rpoZ;gene_biotype=protein_coding;locus_tag=NCTC11427_00394,818,gene-NCTC11427_00394
LR134336.1,EMBL,gene,399312,401709,,+,,ID=gene-NCTC11427_00395;Name=priA;gbkey=Gene;gene=priA;gene_biotype=protein_coding;locus_tag=NCTC11427_00395,820,gene-NCTC11427_00395
LR134336.1,EMBL,gene,401721,402657,,+,,ID=gene-NCTC11427_00396;Name=fmt;gbkey=Gene;gene=fmt;gene_biotype=protein_coding;locus_tag=NCTC11427_00396,822,gene-NCTC11427_00396
LR134336.1,EMBL,gene,402649,403963,,+,,ID=gene-NCTC11427_00397;Name=rsmB;gbkey=Gene;gene=rsmB;gene_biotype=protein_coding;locus_tag=NCTC11427_00397,824,gene-NCTC11427_00397
LR134336.1,EMBL,gene,403978,404719,,+,,ID=gene-NCTC11427_00398;Name=NCTC11427_00398;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00398,826,gene-NCTC11427_00398
LR134336.1,EMBL,gene,404715,406617,,+,,ID=gene-NCTC11427_00399;Name=stkP;gbkey=Gene;gene=stkP;gene_biotype=protein_coding;locus_tag=NCTC11427_00399,828,gene-NCTC11427_00399
LR134336.1,EMBL,gene,406703,407462,,+,,ID=gene-NCTC11427_00400;Name=yjjP;gbkey=Gene;gene=yjjP;gene_biotype=protein_coding;locus_tag=NCTC11427_00400,830,gene-NCTC11427_00400
LR134336.1,EMBL,gene,407463,407919,,+,,ID=gene-NCTC11427_00401;Name=NCTC11427_00401;gbkey=Gene;gene_biotype=protein_coding;locus_tag=NCTC11427_00401,832,gene-NCTC11427_00401
LR134336.1,EMBL,gene,408037,409210,,+,,ID=gene-NCTC11427_00402;Name=pksG;gbkey=Gene;gene=pksG;gene_biotype=protein_coding;locus_tag=NCTC11427_00402,834,gene-NCTC11427_00402
LR134336.1,EMBL,gene,409209,410484,,+,,ID=gene-NCTC11427_00403;Name=mvaA;gbkey=Gene;gene=mvaA;gene_biotype=protein_coding;locus_tag=NCTC11427_00403,836,gene-NCTC11427_00403
LR134336.1,EMBL,gene,410634,411600,,-,,ID=gene-NCTC11427_00404;Name=degA_1;gbkey=Gene;gene=degA_1;gene_biotype=protein_coding;locus_tag=NCTC11427_00404,838,gene-NCTC11427_00404
LR134336.1,EMBL,gene,411580,413035,,-,,ID=gene-NCTC11427_00405;Name=scrB;gbkey=Gene;gene=scrB;gene_biotype=protein_coding;locus_tag=NCTC11427_00405,840,gene-NCTC11427_00405
LR134336.1,EMBL,gene,413412,415299,,+,,ID=gene-NCTC11427_00406;Name=sacX;gbkey=Gene;gene=sacX;gene_biotype=protein_coding;locus_tag=NCTC11427_00406,842,gene-NCTC11427_00406
LR134336.1,EMBL,gene,415457,416345,,+,,ID=gene-NCTC11427_00407;Name=scrK;gbkey=Gene;gene=scrK;gene_biotype=protein_coding;locus_tag=NCTC11427_00407,844,gene-NCTC11427_00407
